,id,uri,nome,siglaPartido,uriPartido,siglaUf,idLegislatura,urlFoto,email
239,73531,https://dadosabertos.camara.leg.br/api/v2/deputados/73531,Ivan Valente,PSOL,https://dadosabertos.camara.leg.br/api/v2/partidos/36839,SP,56,https://www.camara.leg.br/internet/deputado/bandep/73531.jpg,
240,74848,https://dadosabertos.camara.leg.br/api/v2/deputados/74848,Jandira Feghali,PCdoB,https://dadosabertos.camara.leg.br/api/v2/partidos/36779,RJ,56,https://www.camara.leg.br/internet/deputado/bandep/74848.jpg,
241,108338,https://dadosabertos.camara.leg.br/api/v2/deputados/108338,Jaqueline Cassol,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,RO,56,https://www.camara.leg.br/internet/deputado/bandep/108338.jpg,
242,74273,https://dadosabertos.camara.leg.br/api/v2/deputados/74273,Jefferson Campos,PL,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,SP,56,https://www.camara.leg.br/internet/deputado/bandep/74273.jpg,
243,160570,https://dadosabertos.camara.leg.br/api/v2/deputados/160570,Jerônimo Goergen,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,RS,56,https://www.camara.leg.br/internet/deputado/bandep/160570.jpg,
244,178839,https://dadosabertos.camara.leg.br/api/v2/deputados/178839,Jéssica Sales,MDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36899,AC,56,https://www.camara.leg.br/internet/deputado/bandep/178839.jpg,
245,204435,https://dadosabertos.camara.leg.br/api/v2/deputados/204435,Jesus Sérgio,PDT,https://dadosabertos.camara.leg.br/api/v2/partidos/36786,AC,56,https://www.camara.leg.br/internet/deputado/bandep/204435.jpg,
246,160531,https://dadosabertos.camara.leg.br/api/v2/deputados/160531,Jhonatan de Jesus,REPUBLICANOS,https://dadosabertos.camara.leg.br/api/v2/partidos/37908,RR,56,https://www.camara.leg.br/internet/deputado/bandep/160531.jpg,
247,74366,https://dadosabertos.camara.leg.br/api/v2/deputados/74366,João Campos,REPUBLICANOS,https://dadosabertos.camara.leg.br/api/v2/partidos/37908,GO,56,https://www.camara.leg.br/internet/deputado/bandep/74366.jpg,
248,141458,https://dadosabertos.camara.leg.br/api/v2/deputados/141458,João Carlos Bacelar,PL,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,BA,56,https://www.camara.leg.br/internet/deputado/bandep/141458.jpg,
249,178970,https://dadosabertos.camara.leg.br/api/v2/deputados/178970,João Daniel,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,SE,56,https://www.camara.leg.br/internet/deputado/bandep/178970.jpg,
