,id,uri,titulo,idLegislatura
0,54282,https://dadosabertos.camara.leg.br/api/v2/frentes/54282,Frente Parlamentar Mista da Contabilidade Brasileira,56
1,54280,https://dadosabertos.camara.leg.br/api/v2/frentes/54280,Frente Parlamentar em Defesa dos Técnicos Agrícolas,56
2,54279,https://dadosabertos.camara.leg.br/api/v2/frentes/54279,Frente Parlamentar Mista das Cooperativas de Transporte Rodoviário de Cargas - FreCoopTRC.,56
3,54277,https://dadosabertos.camara.leg.br/api/v2/frentes/54277,Frente Parlamentar Mista do Artesão e Apoio do Artesanato Brasileiro.,56
4,54274,https://dadosabertos.camara.leg.br/api/v2/frentes/54274,Frente Parlamentar dos Recicladores do Brasil (FPRB).,56
5,54271,https://dadosabertos.camara.leg.br/api/v2/frentes/54271,Frente Parlamentar Mista do Empreendedorismo,56
6,54268,https://dadosabertos.camara.leg.br/api/v2/frentes/54268,Frente Parlamentar Mista em Defesa das Cidades Históricas - Patrimônio Cultural Brasileiro,56
7,54270,https://dadosabertos.camara.leg.br/api/v2/frentes/54270,Frente Parlamentar de Prevenção de Doenças Pulmonares Graves,56
8,54267,https://dadosabertos.camara.leg.br/api/v2/frentes/54267,Frente Parlamentar em Apoio ao Produtor de Leite,56
9,54265,https://dadosabertos.camara.leg.br/api/v2/frentes/54265,Frente Parlamentar Mista em Defesa do Litoral Brasileiro,56
10,54266,https://dadosabertos.camara.leg.br/api/v2/frentes/54266,Frente Parlamentar dos Transplantes,56
11,54264,https://dadosabertos.camara.leg.br/api/v2/frentes/54264,Frente Parlamentar Mista Brasil Competitivo,56
12,54226,https://dadosabertos.camara.leg.br/api/v2/frentes/54226,Frente Parlamentar Mista Pela Causa da Prematuridade,56
13,54263,https://dadosabertos.camara.leg.br/api/v2/frentes/54263,Frente Parlamentar em Defesa das Energias Renováveis - FER,56
14,54260,https://dadosabertos.camara.leg.br/api/v2/frentes/54260,Frente Parlamentar Mista de Apoio ao Mercado de Varejo e E-Commerce-FREVEC,56
15,54261,https://dadosabertos.camara.leg.br/api/v2/frentes/54261,Frente Parlamentar da Câmara dos Deputados Brasil - Bolívia.,56
16,54259,https://dadosabertos.camara.leg.br/api/v2/frentes/54259,Frente Parlamentar em Defesa da Desoneração da Folha de Pagamento,56
17,54257,https://dadosabertos.camara.leg.br/api/v2/frentes/54257,Frente Parlamentar Mista Pelo Fortalecimento do SUS,56
18,54255,https://dadosabertos.camara.leg.br/api/v2/frentes/54255,Frente Parlamentar Mista em Defesa da Renda Básica,56
19,54258,https://dadosabertos.camara.leg.br/api/v2/frentes/54258,Frente Parlamentar Mista da Telessaúde,56
20,54256,https://dadosabertos.camara.leg.br/api/v2/frentes/54256,Frente Parlamentar em Defesa do Comércio de Material de Construção,56
21,54252,https://dadosabertos.camara.leg.br/api/v2/frentes/54252,Frente Parlamentar em Defesa do Plano Nacional de Educação,56
22,54253,https://dadosabertos.camara.leg.br/api/v2/frentes/54253,Frente Parlamentar Mista pela Adoção e Convivência Familiar,56
23,54251,https://dadosabertos.camara.leg.br/api/v2/frentes/54251,Frente Parlamentar Mista para Implantação do Plenário Virtual no Poder Legislativo,56
24,54249,https://dadosabertos.camara.leg.br/api/v2/frentes/54249,Frente Parlamentar em Defesa dos Profissionais do Sistema Socioeducativo,56
25,54248,https://dadosabertos.camara.leg.br/api/v2/frentes/54248,Frente Parlamentar em Defesa da Democratização do Ministério Público,56
26,54250,https://dadosabertos.camara.leg.br/api/v2/frentes/54250,Frente Parlamentar em Apoio ao Ecoturismo - ECOFPAR,56
27,54231,https://dadosabertos.camara.leg.br/api/v2/frentes/54231,Frente Parlamentar Mista de Segurança Contra Incêndio,56
28,54245,https://dadosabertos.camara.leg.br/api/v2/frentes/54245,Frente Parlamentar Mista em Defesa da Indústria do Mobiliário (FREMOB),56
29,54246,https://dadosabertos.camara.leg.br/api/v2/frentes/54246,Frente Parlamentar Brasil-Rússia,56
30,54243,https://dadosabertos.camara.leg.br/api/v2/frentes/54243,Frente Parlamentar Mista em Defesa da Cadeia Produtiva do Coco,56
31,54242,https://dadosabertos.camara.leg.br/api/v2/frentes/54242,Frente Parlamentar em Defesa da Mulher Advogada FPDMA,56
32,54241,https://dadosabertos.camara.leg.br/api/v2/frentes/54241,Frente Parlamentar em Defesa das Cirurgias Eletivas,56
33,54240,https://dadosabertos.camara.leg.br/api/v2/frentes/54240,Frente Parlamentar em Apoio a Adoção no Brasil do Ciclo Completo de Polícia,56
34,54239,https://dadosabertos.camara.leg.br/api/v2/frentes/54239,Frente Parlamentar em Apoio ao Bambu - Frente do Bambu,56
35,54237,https://dadosabertos.camara.leg.br/api/v2/frentes/54237,Frente Parlamentar Mista em Defesa das Centrais Geradoras Hidrelétricas (CGHS) e das Pequenas Centrais Hidrelétricas (PCHS),56
36,54238,https://dadosabertos.camara.leg.br/api/v2/frentes/54238,Frente Parlamentar Mista da Inteligência Artificial,56
37,54234,https://dadosabertos.camara.leg.br/api/v2/frentes/54234,Frente Parlamentar em Defesa dos Pequenos e Médios Municípios,56
38,54225,https://dadosabertos.camara.leg.br/api/v2/frentes/54225,Frente Parlamentar Mista em Defesa da Reforma Urbana e dos Movimentos de Luta por Moradia,56
39,54233,https://dadosabertos.camara.leg.br/api/v2/frentes/54233,Frente Parlamentar Mista para o Programa Espacial Brasileiro - FPMPEB,56
40,54232,https://dadosabertos.camara.leg.br/api/v2/frentes/54232,Frente Parlamentar Mista da Reforma Administrativa,56
41,54235,https://dadosabertos.camara.leg.br/api/v2/frentes/54235,Frente Parlamentar Mista para o Desenvolvimento Regional Sustentável,56
42,54230,https://dadosabertos.camara.leg.br/api/v2/frentes/54230,"Frente Parlamentar Mista em Defesa da Lavoura Caucaeira, da CEPLAC e do Cacau Cabruca",56
43,54229,https://dadosabertos.camara.leg.br/api/v2/frentes/54229,Frente Parlamentar Mista em Defesa dos Povos e Comunidades Tradicionais com Participação Popular,56
44,54224,https://dadosabertos.camara.leg.br/api/v2/frentes/54224,Frente Parlamentar Mista em Defesa da Prisão em Segunda Instância,56
45,54227,https://dadosabertos.camara.leg.br/api/v2/frentes/54227,Frente Parlamentar Mista em Defesa da Democracia e dos Direitos Humanos com Participação Popular,56
46,54223,https://dadosabertos.camara.leg.br/api/v2/frentes/54223,Frente Parlamentar em defesa dos Oficiais de Justiça,56
47,54222,https://dadosabertos.camara.leg.br/api/v2/frentes/54222,Frente Parlamentar Mista em Defesa da Eletronorte,56
48,54220,https://dadosabertos.camara.leg.br/api/v2/frentes/54220,"Frente Parlamentar Mista em Defesa da FINEP, do Desenvolvimento da Ciência, da Pesquisa e da Inovação",56
49,54221,https://dadosabertos.camara.leg.br/api/v2/frentes/54221,Frente Parlamentar Mista dos Aplicativos de Transporte,56
50,54216,https://dadosabertos.camara.leg.br/api/v2/frentes/54216,Frente Parlamentar Mista Prosul,56
51,54217,https://dadosabertos.camara.leg.br/api/v2/frentes/54217,Frente Parlamentar do Programa Nacional de Imunizações,56
52,54196,https://dadosabertos.camara.leg.br/api/v2/frentes/54196,Frente Parlamentar Mista pelo Pacto Nacional contra as Fake News (divulgação de notícias falsas),56
53,54214,https://dadosabertos.camara.leg.br/api/v2/frentes/54214,Frente Parlamentar Mista em Defesa da Vida dos Agentes de Segurança Pública,56
54,54215,https://dadosabertos.camara.leg.br/api/v2/frentes/54215,Frente Parlamentar em Defesa dos Municípios em Risco de Extinção,56
55,54213,https://dadosabertos.camara.leg.br/api/v2/frentes/54213,Frente Parlamentar pela Defesa e Valorização dos Profissionais da Segurança Pública e da Segurança Privada,56
56,54212,https://dadosabertos.camara.leg.br/api/v2/frentes/54212,Frente Parlamentar em Defesa da Radiodifusão,56
57,54207,https://dadosabertos.camara.leg.br/api/v2/frentes/54207,Frente Parlamentar Mista de Assistência Técnica e Extensão Rural (Frente de ATER),56
